Accession,Organism_Name,GenBank_RefSeq,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Surveillance_Sampling,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject
OL952194,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,20-12-2021,AY.44,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,ME-CDC-ASC210394363,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29805,complete,,,,USA: Maine,USA,ME,Homo sapiens,,09-11-2021,SAMN23728873,PRJNA731148
OL668029,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Gao,H., Li,M., Gao,J., Fierro,J., Sapra,B., Tsai,B., Meng,Y., Ng,D., Xie,J., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,29-11-2021,AY.100,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,CA-CDC-FG-173671,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29841,partial,,,,USA: California,USA,CA,Homo sapiens,oronasopharynx,20-11-2021,SAMN23474784,PRJNA731152
OX659249,Severe acute respiratory syndrome coronavirus 2,GenBank,,Liverpool,United Kingdom,16-06-2023,AY.4,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,complete,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,23-06-2021,SAMEA9358345,PRJEB37886
OU076329,Severe acute respiratory syndrome coronavirus 2,GenBank,,"RKI-OSEDA, Nordufer 20, 13353 Berlin",Germany,31-05-2021,B.1.1.7,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29852,partial,,,,Germany:Europe/Germany/Hamburg,Germany,,Homo sapiens,,18-02-2021,SAMEA9016021,PRJEB44987
OU378029,Severe acute respiratory syndrome coronavirus 2,GenBank,"Lighthouse Laboratory,Plymouth., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,13-07-2021,AY.6,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,25-06-2021,SAMEA9343637,PRJEB37886
OW507662,Severe acute respiratory syndrome coronavirus 2,GenBank,"Fraser,D., Lee,S., Howes,R., The Rosalind Franklin,Laboratory., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,16-04-2022,BA.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29850,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,28-03-2022,SAMEA13923366,PRJEB37886
OR186865,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Unoarumhi,Y., Lacek,K.A., Morrison,S., Gulvik,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,26-06-2023,EG.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,NJ-CDC-QDX81456267,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29721,partial,,,,USA: New Jersey,USA,NJ,Homo sapiens,oronasopharynx,08-06-2023,SAMN35980847,PRJNA716985
OX787244,Severe acute respiratory syndrome coronavirus 2,GenBank,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,19-06-2023,BA.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29876,complete,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,28-12-2021,SAMEA113126049,PRJEB37886
OK441909,Severe acute respiratory syndrome coronavirus 2,GenBank,"Lemieux,J.E., Siddle,K.J., Shaw,B., Adams,G., Pierce,V., Turbett,S., Anahtar,M., Branda,J., Slater,D., Harris,J., Lin,A.E., Gladden-Young,A., Lagerborg,K., Rudy,M., DeRuff,K., Carter,A., Normandin,E., Bauer,M., Reilly,S., Tomkins-Tinch,C., Loreth,C., Chaluvadi,S., Neumann,A., Cusick,C., Chapman,S.B., Gnirke,A., Flowers,K., Cerrato,F., Birren,B.W., Gallagher,G., Smole,S., Park,D.J., MacInnis,B.L., Ryan,E., LaRocque,R., Rosenberg,E., Sabeti,P.C.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,09-10-2021,AY.3,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,MA-CDCBI-CRSP_FWV6AAATN3AML4BU,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29844,partial,,,,USA: Massachusetts,USA,MA,Homo sapiens,,29-09-2021,SAMN22153698,PRJNA715749
OV069477,Severe acute respiratory syndrome coronavirus 2,GenBank,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,25-11-2021,AY.43,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,01-11-2021,SAMEA11264747,PRJEB37886
OW459808,Severe acute respiratory syndrome coronavirus 2,GenBank,"VanSteenhouse,H., Kasai,Y., Gray,D., Clugston,C., Dominiczak,A., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,13-04-2022,BA.2.10,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29850,partial,,,,United Kingdom:Scotland,United Kingdom,,Homo sapiens,,25-03-2022,SAMEA13886501,PRJEB37886
OV361573,Severe acute respiratory syndrome coronavirus 2,GenBank,,"RKI-OSEDA, Nordufer 20, 13353 Berlin",Germany,09-01-2022,AY.4,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29807,partial,,,,Germany:Europe/Germany/North Rhine-Westphalia,Germany,,Homo sapiens,,16-09-2021,SAMEA10664898,PRJEB44987
OY116278,Severe acute respiratory syndrome coronavirus 2,GenBank,,"RKI-OSEDA, Nordufer 20, 13353 Berlin",Germany,27-06-2023,BA.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29779,partial,,,,Germany:Europe/Germany/Rhineland-Palatinate,Germany,,Homo sapiens,,12-04-2022,SAMEA113743154,PRJEB44987
OL532610,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,18-11-2021,B.1.617.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,FL-CDC-STM-000706505,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29896,complete,,,,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,08-07-2021,SAMN23221282,PRJNA720050
OY533766,Severe acute respiratory syndrome coronavirus 2,GenBank,,"Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw",,27-07-2023,BA.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29873,complete,,,,United Kingdom:Wales,United Kingdom,,Homo sapiens,,15-02-2022,SAMEA113282899,PRJEB37886
OQ612956,Severe acute respiratory syndrome coronavirus 2,GenBank,"Aryal,R., Parikh,H.I., Barry,K.E., Attai,A., Kotay,S.M., Mathers,A.J.","University of Virginia, Division of Infectious Diseases and International Health",USA,13-03-2023,XBB.1.5,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,VA-CAV_VAS3N_00018262_01,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29802,partial,,,,USA: Virginia,USA,VA,Homo sapiens,oronasopharynx,06-02-2023,,
OL637969,Severe acute respiratory syndrome coronavirus 2,GenBank,"Lemieux,J.E., Siddle,K.J., Shaw,B., Adams,G., Pierce,V., Turbett,S., Anahtar,M., Branda,J., Slater,D., Harris,J., Lin,A.E., Gladden-Young,A., Lagerborg,K., Rudy,M., DeRuff,K., Carter,A., Normandin,E., Bauer,M., Reilly,S., Tomkins-Tinch,C., Loreth,C., Chaluvadi,S., Neumann,A., Cusick,C., Chapman,S.B., Gnirke,A., Flowers,K., Cerrato,F., Birren,B.W., Gallagher,G., Smole,S., Park,D.J., MacInnis,B.L., Ryan,E., LaRocque,R., Rosenberg,E., Sabeti,P.C.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,26-11-2021,AY.25.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,RI-CDCBI-RIDOH_DHXDZGCMFE5VAENH,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29844,partial,,,,USA: Rhode Island,USA,RI,Homo sapiens,,10-11-2021,SAMN23438786,PRJNA715749
OX179816,Severe acute respiratory syndrome coronavirus 2,GenBank,"Danish Covid-19 Genome,Consortium.","Artillerivej 5, 2300 Copenhagen S",Denmark,08-07-2022,BA.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29876,partial,,,,Denmark:Sjaelland,Denmark,,Homo sapiens,,11-04-2022,SAMEA110275573,PRJEB49401
OK201513,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,21-09-2021,AY.44,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,CA-CDC-LC0248165,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29766,partial,,,,USA: California,USA,CA,Homo sapiens,oronasopharynx,20-08-2021,SAMN21489734,PRJNA716984
OQ720475,Severe acute respiratory syndrome coronavirus 2,GenBank,"Peer,A.M., Chapman,R.C., Estep,G.H., Alhaehm,M., Bernhard,K., Cross,S.T., Wiley,M.R.","University of Nebraska Medical Center, Environmental, Agricultural, and Occupational Health",USA,31-03-2023,B.1.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,NE-004106,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29540,partial,,,,USA: Nebraska,USA,NE,Homo sapiens,oronasopharynx,05-11-2020,SAMN33990717,PRJNA858454
OM947482,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,09-03-2022,BA.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,FL-CDC-ASC210825501,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29787,complete,,,,USA: Florida,USA,FL,Homo sapiens,,25-02-2022,SAMN26532814,PRJNA731148
OV459481,Severe acute respiratory syndrome coronavirus 2,GenBank,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,13-01-2022,AY.43,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,06-12-2021,SAMEA11939728,PRJEB37886
OK312869,Severe acute respiratory syndrome coronavirus 2,GenBank,"Smith,E.","California Department of Public Health, IDLB VRDL/COVIDNet",USA,28-09-2021,AY.14,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,CA-CDPH-3000124664,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29848,partial,,,,USA,USA,,Homo sapiens,,21-07-2021,SAMN21613510,PRJNA750736
OW714267,Severe acute respiratory syndrome coronavirus 2,GenBank,,"RKI-OSEDA, Nordufer 20, 13353 Berlin",Germany,03-05-2022,AY.5.4,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29860,partial,,,,Germany:Europe/Germany/Saxony,Germany,,Homo sapiens,,10-01-2022,SAMEA13689579,PRJEB44987
OQ073064,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,17-12-2022,CK.1.5,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,KY-CDC-LC0953388,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29409,partial,,,,USA: Kentucky,USA,KY,Homo sapiens,oronasopharynx,06-12-2022,SAMN32290845,PRJNA716984
OW963042,Severe acute respiratory syndrome coronavirus 2,GenBank,"Fraser,D., Lee,S., Howes,R., The Rosalind Franklin,Laboratory., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,18-05-2022,BA.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29850,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,01-05-2022,SAMEA14393247,PRJEB37886
OX668515,Severe acute respiratory syndrome coronavirus 2,GenBank,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,16-06-2023,BQ.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29894,complete,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,01-12-2022,SAMEA113017760,PRJEB37886
OV118276,Severe acute respiratory syndrome coronavirus 2,GenBank,,"RKI-OSEDA, Nordufer 20, 13353 Berlin",Germany,05-12-2021,AY.43,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29816,partial,,,,Germany:Europe/Germany/Baden-Wurttemberg,Germany,,Homo sapiens,,04-11-2021,SAMEA10822023,PRJEB44987
OU392346,Severe acute respiratory syndrome coronavirus 2,GenBank,,"Northumbria University, Newcastle upon Tyne, NE1 8SB, UK / The James Cook University Hospital, Middlesbrough TS4 3BW / Cumberland Infirmary, Newtown Road, Carlisle, Cumbria, CA2 7HY / University Hospital of North Tees, Hardwick Road, Stockton on Tees, Cleveland, TS19 8PE / The Newcastle upon Tyne Hospitals NHS Foundation Trust, Freeman Hospital, Freeman Road, High Heaton, Newcastle upon Tyne Ne7 7Dn",,13-07-2021,AY.5,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,complete,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,11-06-2021,SAMEA9313576,PRJEB37886
